date,Rest_tdtbk,Rest_mabk,SKT_tdtbk,SKT_mabk,
20180529,4,4,3,3,
20180530,1,1,4,4,
20180531,2,2,3,3,
20180601,4,4,3,3,
20180604,2,2,1,1,
20180615,1,1,3,3,
20180618,1,1,2,2,
20180626,1,1,2,2,
20180628,2,2,3,3,
20180702,1,1,2,2,
20180703,4,4,2,2,
20180705,1,1,3,4,
20180706,3,3,4,4,
20180717,2,2,4,4,
20180718,4,4,1,2,
20180723,2,2,4,4,
20180724,4,4,1,1,
20180726,3,3,4,4,
20180727,5,5,2,2,
20180730,2,2,3,3,
20180731,2,2,4,4,
20180801,1,1,2,2,
20180802,3,3,1,1,
20180803,1,1,3,3,
20180806,1,1,2,2,
20180807,2,2,4,4,
20180810,2,2,3,3,
20180813,1,1,3,3,normal
20180814,4,4,2,2,
20180815,3,3,1,1,
20180816,2,2,5,5,
20180817,1,1,3,3,
20180820,4,4,1,1,
20180821,2,2,4,4,normal
20190826,1,1,3,3,mild
20190829,1,1,3,3,mild
20190903,1,1,3,3,mild
20190904,1,1,3,3,mild
20200908,NaN,NaN,5,5,
20200909,NaN,NaN,2,2,
20200910,NaN,NaN,5,5,
20200916,NaN,NaN,5,5,
20200917,NaN,NaN,2,2,
20200918,NaN,NaN,5,5,
20200922,NaN,NaN,3,3,
20200923,NaN,NaN,5,5,
20200924,NaN,NaN,3,3,
20200925,NaN,NaN,5,5,
20200928,NaN,NaN,4,4,
20200929,NaN,NaN,3,3,
20200930,NaN,NaN,3,3,
20201001,NaN,NaN,4,4,
20201005,NaN,NaN,4,4,
20201006,NaN,NaN,3,3,
20201007,NaN,NaN,2,2,
20201009,NaN,NaN,4,4,
20201012,NaN,NaN,5,5,
20201013,NaN,NaN,6,6,
20201014,NaN,NaN,4,4,
